name,base_price,type,vendor
Advanced Real 300,4999.00,SaaS,Software Vala
Advanced Real 332,299.00,Desktop,Software Vala
Advanced Recruitment 10,2999.00,Mobile,Software Vala
Advanced Recruitment 186,199.00,Hybrid,Software Vala
Advanced Recruitment 258,1499.00,Hybrid,Software Vala
Advanced Recruitment 336,2999.00,Offline,Software Vala
Advanced Recruitment 394,99.00,Offline,Software Vala
Advanced Rental 245,499.00,Hybrid,Software Vala
Advanced Rental 347,1499.00,Offline,Software Vala
Advanced Rental 67,199.00,Offline,Software Vala
Advanced Restaurant 202,399.00,SaaS,Software Vala
Advanced Route 125,499.00,Hybrid,Software Vala
Advanced Route 234,49.00,Offline,Software Vala
Advanced Sales 254,1499.00,Offline,Software Vala
Advanced Sales 36,1499.00,Offline,Software Vala
Advanced Sales 42,499.00,SaaS,Software Vala
Advanced School 110,299.00,SaaS,Software Vala
Advanced School 21,149.00,Offline,Software Vala
Advanced Service 234,99.00,Desktop,Software Vala
Advanced Service 261,499.00,Mobile,Software Vala
Advanced Shipping 78,99.00,Desktop,Software Vala
Advanced Student 140,799.00,Desktop,Software Vala
Advanced Student 174,999.00,Desktop,Software Vala
Advanced Student 199,2999.00,Desktop,Software Vala
Advanced Student 255,149.00,SaaS,Software Vala
Advanced Table 126,1499.00,Hybrid,Software Vala
Advanced Tax 316,499.00,Hybrid,Software Vala
Advanced Telemedicine 186,999.00,Desktop,Software Vala
Advanced Telemedicine 74,799.00,SaaS,Software Vala
Advanced Ticket 387,79.00,Mobile,Software Vala
Advanced Time 89,29.00,Desktop,Software Vala
Advanced Travel 203,499.00,Desktop,Software Vala
Advanced Travel 25,199.00,SaaS,Software Vala
Advanced University 196,49.00,SaaS,Software Vala
Advanced University 240,1999.00,Hybrid,Software Vala
Advanced University 270,1499.00,SaaS,Software Vala
Advanced University 38,149.00,Mobile,Software Vala
Advanced University 54,99.00,Mobile,Software Vala
Advanced Vehicle 124,2999.00,Mobile,Software Vala
Advanced Vehicle 241,29.00,SaaS,Software Vala
Advanced Wholesale 137,29.00,SaaS,Software Vala
Advanced Wholesale 319,79.00,Offline,Software Vala
Agent 360 15,199.00,SaaS,Software Vala
Agent 360 83,499.00,Mobile,Software Vala
Agent Analytics 133,199.00,Desktop,Software Vala
Agent Analytics 260,499.00,Hybrid,Software Vala
Agent Analytics 41,499.00,Desktop,Software Vala
Agent Automation 276,299.00,Desktop,Software Vala
Agent Automation 288,2999.00,SaaS,Software Vala
Agent Basic 168,99.00,Mobile,Software Vala
Agent Cloud 2,499.00,Desktop,Software Vala
Agent Cloud 91,49.00,SaaS,Software Vala
Agent Enterprise 16,29.00,Mobile,Software Vala
Agent Expert 121,499.00,Desktop,Software Vala
Agent Expert 21,1499.00,Offline,Software Vala
Agent Expert 305,199.00,SaaS,Software Vala
Agent Expert 79,2999.00,Hybrid,Software Vala
Agent Hub 227,2999.00,Mobile,Software Vala
Agent Hub 255,499.00,Offline,Software Vala
Agent Hub 314,49.00,Desktop,Software Vala
Agent Intelligence 152,29.00,Desktop,Software Vala
Agent Intelligence 244,999.00,Hybrid,Software Vala
Agent Intelligence 275,29.00,Hybrid,Software Vala
Agent Manager 122,799.00,Offline,Software Vala
Agent Manager 172,0.00,Hybrid,Software Vala
Agent Manager 344,29.00,Offline,Software Vala
Agent Manager 360,149.00,Offline,Software Vala
Agent Manager 47,999.00,Mobile,Software Vala
Agent Manager 69,79.00,Hybrid,Software Vala
Agent Master 268,2999.00,SaaS,Software Vala
Agent Master 59,99.00,Offline,Software Vala
Agent Online 220,79.00,Desktop,Software Vala
Agent Open Source 26,199.00,Hybrid,Software Vala
Agent Open Source 402,4999.00,Desktop,Software Vala
Agent Plus 17,599.00,Desktop,Software Vala
Agent Plus 256,99.00,Desktop,Software Vala
Agent Pro 404,2999.00,SaaS,Software Vala
Agent Starter 155,4999.00,Mobile,Software Vala
Agent Starter 304,399.00,Hybrid,Software Vala
Agent for JavaScript 359,1499.00,Mobile,Software Vala
All-in-One Accounting 247,799.00,Hybrid,Software Vala
All-in-One Accounting 251,999.00,Offline,Software Vala
All-in-One Agent 120,199.00,SaaS,Software Vala
All-in-One Asset 132,49.00,Hybrid,Software Vala
All-in-One Asset 207,0.00,Desktop,Software Vala
All-in-One Asset 77,199.00,Hybrid,Software Vala
All-in-One Attendance 328,599.00,Mobile,Software Vala
All-in-One Auto 365,29.00,Desktop,Software Vala
All-in-One Auto 42,0.00,Offline,Software Vala
All-in-One Auto 54,1999.00,Mobile,Software Vala
All-in-One Bakery 305,499.00,Hybrid,Software Vala
All-in-One Bakery 370,599.00,Desktop,Software Vala
All-in-One Booking 171,99.00,Desktop,Software Vala
All-in-One Booking 261,799.00,Hybrid,Software Vala
All-in-One Cab 107,799.00,Desktop,Software Vala
All-in-One Cab 323,0.00,Mobile,Software Vala
All-in-One Cab 339,1499.00,Mobile,Software Vala
All-in-One Car 26,1999.00,Hybrid,Software Vala
All-in-One Car 7,599.00,Hybrid,Software Vala
All-in-One Car 98,4999.00,Mobile,Software Vala
All-in-One Cloud 227,599.00,Hybrid,Software Vala
All-in-One Cloud 376,499.00,Hybrid,Software Vala
All-in-One Cloud 74,2999.00,Offline,Software Vala
All-in-One Cloud 8,999.00,Mobile,Software Vala
All-in-One Coaching 321,1999.00,SaaS,Software Vala
All-in-One Construction 92,1999.00,Desktop,Software Vala
All-in-One Contact 266,1499.00,Mobile,Software Vala
All-in-One Container 162,799.00,Hybrid,Software Vala
All-in-One Container 74,149.00,SaaS,Software Vala
All-in-One Delivery 287,4999.00,Hybrid,Software Vala
All-in-One Delivery 329,29.00,Hybrid,Software Vala
All-in-One Delivery 348,599.00,SaaS,Software Vala
All-in-One Dental 315,399.00,Mobile,Software Vala
All-in-One E-commerce 161,49.00,Mobile,Software Vala
All-in-One ERP 317,49.00,Hybrid,Software Vala
All-in-One ERP 59,1499.00,Desktop,Software Vala
All-in-One Electronics 378,299.00,Mobile,Software Vala
All-in-One Employee 417,79.00,Hybrid,Software Vala
All-in-One Event 18,99.00,SaaS,Software Vala
All-in-One Event 213,1499.00,Hybrid,Software Vala
All-in-One Expense 256,4999.00,Hybrid,Software Vala
All-in-One Expense 352,1499.00,SaaS,Software Vala
All-in-One Factory 9,1499.00,Offline,Software Vala
All-in-One Fashion 239,149.00,Offline,Software Vala
All-in-One Fashion 294,29.00,Offline,Software Vala
All-in-One Fashion 417,4999.00,Offline,Software Vala
All-in-One Flight 60,199.00,Offline,Software Vala
All-in-One Flight 79,79.00,SaaS,Software Vala
All-in-One Flight 86,299.00,Offline,Software Vala
All-in-One Food 73,99.00,Desktop,Software Vala
All-in-One Freight 10,149.00,SaaS,Software Vala
All-in-One Freight 240,299.00,Hybrid,Software Vala
All-in-One Garage 153,2999.00,Mobile,Software Vala
All-in-One Garage 231,4999.00,Offline,Software Vala
All-in-One Garage 262,199.00,Desktop,Software Vala
All-in-One Garage 406,29.00,SaaS,Software Vala
All-in-One Grocery 149,499.00,Hybrid,Software Vala
All-in-One Grocery 259,29.00,SaaS,Software Vala
All-in-One Grocery 311,399.00,Mobile,Software Vala
All-in-One Grocery 61,299.00,Desktop,Software Vala
All-in-One Helpdesk 24,599.00,Mobile,Software Vala
All-in-One Helpdesk 29,199.00,Offline,Software Vala
All-in-One Helpdesk 344,799.00,Offline,Software Vala
All-in-One Hospital 13,799.00,SaaS,Software Vala
All-in-One Hospital 213,999.00,Mobile,Software Vala
All-in-One Housing 138,799.00,Desktop,Software Vala
All-in-One Housing 150,299.00,Hybrid,Software Vala
All-in-One Housing 151,399.00,SaaS,Software Vala
All-in-One Housing 7,4999.00,SaaS,Software Vala
All-in-One Invoice 163,4999.00,Hybrid,Software Vala
All-in-One Invoice 53,199.00,SaaS,Software Vala
All-in-One Lab 43,599.00,Offline,Software Vala
All-in-One Land 165,799.00,Offline,Software Vala
All-in-One Lead 13,1499.00,Mobile,Software Vala
All-in-One Learning 236,79.00,Offline,Software Vala
All-in-One Library 279,99.00,Offline,Software Vala
All-in-One Library 29,29.00,Hybrid,Software Vala
All-in-One Library 55,499.00,Offline,Software Vala
All-in-One Load 285,79.00,Desktop,Software Vala
All-in-One Loan 372,149.00,Desktop,Software Vala
All-in-One Loan 99,4999.00,Hybrid,Software Vala
All-in-One MRP 228,2999.00,Desktop,Software Vala
All-in-One MRP 318,2999.00,Hybrid,Software Vala
All-in-One MRP 345,299.00,SaaS,Software Vala
All-in-One MRP 81,1499.00,Hybrid,Software Vala
All-in-One Medical 125,199.00,Hybrid,Software Vala
All-in-One Multi-vendor 388,999.00,Offline,Software Vala
All-in-One Online 392,1999.00,Mobile,Software Vala
All-in-One Online 42,799.00,SaaS,Software Vala
All-in-One Online 9,199.00,Offline,Software Vala
All-in-One POS 320,149.00,Offline,Software Vala
All-in-One POS 332,1499.00,Mobile,Software Vala
All-in-One POS 363,4999.00,Mobile,Software Vala
All-in-One Parking 375,2999.00,SaaS,Software Vala
All-in-One Payroll 145,999.00,SaaS,Software Vala
All-in-One Payroll 152,399.00,Mobile,Software Vala
All-in-One Payroll 375,29.00,Mobile,Software Vala
All-in-One Pharmacy 366,299.00,Desktop,Software Vala
All-in-One Production 173,1499.00,Mobile,Software Vala
All-in-One Quality 145,299.00,Offline,Software Vala
All-in-One Quality 391,599.00,Desktop,Software Vala
All-in-One Quality 415,999.00,SaaS,Software Vala
All-in-One Real 53,299.00,Desktop,Software Vala
All-in-One Recruitment 122,1499.00,Hybrid,Software Vala
All-in-One Rental 18,299.00,SaaS,Software Vala
All-in-One Rental 303,599.00,Hybrid,Software Vala
All-in-One Resort 113,299.00,Hybrid,Software Vala
All-in-One Restaurant 239,49.00,Mobile,Software Vala
All-in-One Restaurant 251,1499.00,SaaS,Software Vala
All-in-One Route 217,199.00,Desktop,Software Vala
All-in-One Route 96,149.00,Offline,Software Vala
All-in-One Sales 124,1499.00,SaaS,Software Vala
All-in-One Sales 93,399.00,SaaS,Software Vala
All-in-One School 215,1999.00,Offline,Software Vala
All-in-One School 340,999.00,Offline,Software Vala
All-in-One School 386,199.00,Desktop,Software Vala
All-in-One Service 105,4999.00,Mobile,Software Vala
All-in-One Service 298,0.00,SaaS,Software Vala
All-in-One Student 363,599.00,Desktop,Software Vala
All-in-One Supply 118,1999.00,Hybrid,Software Vala
All-in-One Table 166,99.00,Desktop,Software Vala
All-in-One Table 258,149.00,Hybrid,Software Vala
All-in-One Table 62,99.00,Mobile,Software Vala
All-in-One Ticket 269,2999.00,Offline,Software Vala
All-in-One Ticket 316,79.00,Desktop,Software Vala
All-in-One Ticket 338,1499.00,SaaS,Software Vala
All-in-One Ticket 83,79.00,Hybrid,Software Vala
All-in-One Time 109,99.00,Mobile,Software Vala
All-in-One Time 396,99.00,SaaS,Software Vala
All-in-One Tour 342,79.00,Desktop,Software Vala
All-in-One Transport 312,1999.00,Mobile,Software Vala
All-in-One Transport 340,399.00,Desktop,Software Vala
All-in-One Travel 352,29.00,Offline,Software Vala
All-in-One University 20,4999.00,Offline,Software Vala
All-in-One University 51,99.00,Hybrid,Software Vala
All-in-One Vehicle 110,0.00,Offline,Software Vala
All-in-One Warehouse 155,399.00,Hybrid,Software Vala
All-in-One Wholesale 140,499.00,SaaS,Software Vala
Android Courier 23,199.00,SaaS,Software Vala
Android Employee 111,499.00,Hybrid,Software Vala
Android Grocery 219,299.00,SaaS,Software Vala
Android HRMS 383,299.00,Desktop,Software Vala
Android Pharmacy 113,29.00,Mobile,Software Vala
Android Sales 25,399.00,Mobile,Software Vala
Android Travel 400,0.00,Mobile,Software Vala
Asana,10.99,SaaS,Software Vala
Asset 360 258,199.00,Hybrid,Software Vala
Asset 360 79,29.00,Desktop,Software Vala
Asset Analytics 138,29.00,Mobile,Software Vala
Asset Analytics 139,29.00,SaaS,Software Vala
Asset Analytics 241,4999.00,Offline,Software Vala
Asset Analytics 322,79.00,Desktop,Software Vala
Asset Analytics 72,1499.00,SaaS,Software Vala
Asset Automation 110,1499.00,Offline,Software Vala
Asset Central 24,799.00,Hybrid,Software Vala
Asset Cloud 387,599.00,Desktop,Software Vala
Asset Enterprise 349,2999.00,Mobile,Software Vala
Asset Expert 149,1999.00,SaaS,Software Vala
Asset Expert 60,799.00,SaaS,Software Vala
Asset Intelligence 357,399.00,Mobile,Software Vala
Asset Intelligence 88,4999.00,Desktop,Software Vala
Asset Manager 347,4999.00,Hybrid,Software Vala
Asset Master 205,199.00,Desktop,Software Vala
Asset Master 312,2999.00,Offline,Software Vala
Asset Online 106,0.00,SaaS,Software Vala
Asset Online 33,49.00,Desktop,Software Vala
Asset Online 386,299.00,Mobile,Software Vala
Asset Open Source 22,149.00,Desktop,Software Vala
Asset Open Source 381,299.00,Hybrid,Software Vala
Asset Premium 49,4999.00,Desktop,Software Vala
Asset Pro 362,299.00,Hybrid,Software Vala
Asset Pro 57,299.00,Hybrid,Software Vala
Asset Starter 13,2999.00,Mobile,Software Vala
Asset Starter 176,299.00,Desktop,Software Vala
Asset Suite 63,999.00,Offline,Software Vala
Asset for WordPress 299,4999.00,Desktop,Software Vala
Attendance Automation 137,799.00,Desktop,Software Vala
Attendance Automation 168,999.00,Hybrid,Software Vala
Attendance Basic 90,499.00,Offline,Software Vala
Attendance Cloud 164,399.00,Hybrid,Software Vala
Attendance Cloud 270,4999.00,Hybrid,Software Vala
Attendance Cloud 359,4999.00,SaaS,Software Vala
Attendance Cloud 58,399.00,Offline,Software Vala
Attendance Expert 148,79.00,Mobile,Software Vala
Attendance Expert 150,4999.00,Offline,Software Vala
Attendance Hub 223,499.00,Mobile,Software Vala
Attendance Hub 229,199.00,Hybrid,Software Vala
Attendance Hub 378,399.00,Desktop,Software Vala
Attendance Hub 412,4999.00,SaaS,Software Vala
Attendance Manager 158,4999.00,SaaS,Software Vala
Attendance Manager 163,99.00,Offline,Software Vala
Attendance Manager 48,799.00,Mobile,Software Vala
Attendance Master 115,1999.00,Mobile,Software Vala
Attendance Master 153,4999.00,Hybrid,Software Vala
Attendance Master 271,0.00,Hybrid,Software Vala
Attendance Master 385,599.00,Mobile,Software Vala
Attendance Online 144,49.00,Mobile,Software Vala
Attendance Online 201,79.00,Offline,Software Vala
Attendance Open Source 134,799.00,Desktop,Software Vala
Attendance Open Source 278,599.00,SaaS,Software Vala
Attendance Open Source 84,499.00,Desktop,Software Vala
Attendance Plus 13,29.00,Hybrid,Software Vala
Attendance Plus 187,29.00,Hybrid,Software Vala
Attendance Plus 320,0.00,Mobile,Software Vala
Attendance Pro 301,499.00,Hybrid,Software Vala
Attendance Pro 401,799.00,Desktop,Software Vala
Attendance Starter 315,79.00,Offline,Software Vala
Attendance Suite 127,399.00,Mobile,Software Vala
Attendance Suite 362,299.00,Hybrid,Software Vala
Attendance for .NET 57,1999.00,SaaS,Software Vala
Auto 360 64,999.00,Mobile,Software Vala
Auto Analytics 181,4999.00,Offline,Software Vala
Auto Analytics 71,4999.00,SaaS,Software Vala
Auto Automation 269,0.00,Offline,Software Vala
Auto Automation 301,999.00,Offline,Software Vala
Auto Automation 48,199.00,SaaS,Software Vala
Auto Basic 290,0.00,Offline,Software Vala
Auto Central 255,2999.00,Desktop,Software Vala
Auto Cloud 1,1999.00,Hybrid,Software Vala
Auto Enterprise 150,299.00,SaaS,Software Vala
Auto Expert 353,1499.00,Mobile,Software Vala
Auto Expert 94,49.00,Offline,Software Vala
Auto Hub 158,49.00,SaaS,Software Vala
Auto Hub 414,4999.00,Hybrid,Software Vala
Auto Manager 370,1999.00,Hybrid,Software Vala
Auto Master 306,599.00,Hybrid,Software Vala
Auto Online 333,99.00,Desktop,Software Vala
Auto Open Source 350,99.00,Offline,Software Vala
Auto Open Source 361,4999.00,Mobile,Software Vala
Auto Plus 260,999.00,Mobile,Software Vala
Auto Plus 61,79.00,Mobile,Software Vala
Auto Plus 63,1999.00,Desktop,Software Vala
Auto Premium 289,399.00,Hybrid,Software Vala
Auto Premium 77,799.00,Offline,Software Vala
Auto Pro 177,1999.00,Mobile,Software Vala
Auto Pro 311,29.00,Hybrid,Software Vala
Auto Suite 137,99.00,Mobile,Software Vala
Auto for WordPress 242,29.00,SaaS,Software Vala
Bakery 360 294,149.00,Mobile,Software Vala
Bakery 360 83,499.00,Mobile,Software Vala
Bakery Automation 347,799.00,SaaS,Software Vala
Bakery Central 134,999.00,Mobile,Software Vala
Bakery Central 321,299.00,Offline,Software Vala
Bakery Central 7,599.00,Hybrid,Software Vala
Bakery Cloud 169,49.00,SaaS,Software Vala
Bakery Cloud 220,149.00,Mobile,Software Vala
Bakery Cloud 366,49.00,Offline,Software Vala
Bakery Enterprise 264,1499.00,Offline,Software Vala
Bakery Expert 149,0.00,SaaS,Software Vala
Bakery Expert 284,2999.00,SaaS,Software Vala
Bakery Hub 200,999.00,Hybrid,Software Vala
Bakery Manager 246,2999.00,Desktop,Software Vala
Bakery Manager 327,499.00,Offline,Software Vala
Bakery Master 292,49.00,Offline,Software Vala
Bakery Online 338,0.00,Mobile,Software Vala
Bakery Online 380,149.00,Offline,Software Vala
Bakery Online 4,799.00,Offline,Software Vala
Bakery Online 71,199.00,Hybrid,Software Vala
Bakery Open Source 127,2999.00,Offline,Software Vala
Bakery Plus 139,149.00,Hybrid,Software Vala
Bakery Premium 159,4999.00,SaaS,Software Vala
Bakery Premium 17,0.00,Offline,Software Vala
Bakery Premium 219,4999.00,Hybrid,Software Vala
Bakery Premium 381,399.00,Offline,Software Vala
Bakery Starter 150,199.00,Desktop,Software Vala
Bakery Starter 285,149.00,SaaS,Software Vala
Bakery Suite 143,299.00,Desktop,Software Vala
Bakery Suite 267,399.00,Hybrid,Software Vala
Bakery for iOS 272,999.00,Hybrid,Software Vala
BambooHR,35.00,SaaS,Software Vala
Banking 360 230,399.00,Hybrid,Software Vala
Banking 360 343,4999.00,Offline,Software Vala
Banking 360 76,29.00,Desktop,Software Vala
Banking Analytics 175,0.00,SaaS,Software Vala
Banking Automation 105,199.00,Mobile,Software Vala
Banking Automation 273,49.00,Hybrid,Software Vala
Banking Automation 69,0.00,Desktop,Software Vala
Banking Basic 266,4999.00,Hybrid,Software Vala
Banking Basic 74,999.00,Desktop,Software Vala
Banking Central 359,1999.00,Offline,Software Vala
Banking Cloud 310,149.00,SaaS,Software Vala
Banking Cloud 367,799.00,Desktop,Software Vala
Banking Enterprise 358,599.00,Hybrid,Software Vala
Banking Hub 167,149.00,SaaS,Software Vala
Banking Hub 267,399.00,Offline,Software Vala
Banking Hub 393,79.00,Hybrid,Software Vala
Banking Intelligence 295,599.00,Mobile,Software Vala
Banking Master 242,399.00,Desktop,Software Vala
Banking Master 384,0.00,Desktop,Software Vala
Banking Master 410,299.00,Mobile,Software Vala
Banking Online 207,299.00,Desktop,Software Vala
Banking Open Source 366,999.00,Offline,Software Vala
Banking Premium 17,1499.00,Desktop,Software Vala
Banking Premium 26,1999.00,SaaS,Software Vala
Banking Starter 221,2999.00,Desktop,Software Vala
Banking Starter 320,99.00,SaaS,Software Vala
Banking Starter 337,799.00,SaaS,Software Vala
